target model rmsd protocol
ada17 8 1.37222 shape
ada17 9 1.56903 shape
ada17 10 1.70231 shape
ada17 11 0.910634 shape
ada17 12 1.64344 shape
ada17 13 1.60002 shape
ada17 14 2.18215 shape
ada17 15 1.88411 shape
ada17 16 1.77487 shape
ada17 17 1.64392 shape
ada17 18 1.29939 shape
ada17 19 1.59794 shape
ada17 20 1.63566 shape
ada17 21 1.74113 shape
ada17 22 1.52687 shape
ada17 23 1.62546 shape
ada17 24 1.68596 shape
ada17 25 0.964462 shape
ada17 26 1.23897 shape
ada17 27 1.29306 shape
ada17 28 1.32959 shape
ada17 29 1.39091 shape
ada17 30 1.2905 shape
ada17 31 1.29967 shape
ada17 32 1.38118 shape
ada17 33 0.973 shape
ada17 34 1.50508 shape
ada17 35 1.38354 shape
ada17 36 1.3535 shape
ada17 37 1.4437 shape
ada17 38 1.4325 shape
ada17 39 1.56909 shape
ada17 40 1.43615 shape
ada17 41 1.69376 shape
ada17 42 1.4035 shape
ada17 43 1.49498 shape
ada17 44 1.14723 shape
ada17 45 1.00306 shape
ada17 46 1.10954 shape
ada17 47 1.43394 shape
ada17 48 1.48246 shape
ada17 49 1.55831 shape
ada17 50 1.52465 shape
ada17 51 1.4668 shape
ada17 52 1.51751 shape
ada17 53 1.48404 shape
ada17 54 1.0404 shape
ada17 55 1.53119 shape
ada17 56 1.48651 shape
ada17 57 1.54177 shape
ada17 58 1.15367 shape
ada17 59 1.25494 shape
ada17 60 1.12053 shape
ada17 61 1.46 shape
ada17 62 1.32845 shape
ada17 63 1.21146 shape
ada17 64 1.54977 shape
ada17 65 1.52138 shape
ada17 66 1.54941 shape
ada17 67 1.50572 shape
ada17 68 1.56222 shape
ada17 69 1.13542 shape
ada17 70 1.56816 shape
ada17 71 1.54972 shape
ada17 72 1.70831 shape
ada17 73 1.68688 shape
ada17 74 1.65277 shape
ada17 75 1.33414 shape
ada17 76 1.44242 shape
ada17 77 1.34219 shape
ada17 78 1.57559 shape
ada17 79 1.47879 shape
ada17 80 1.72446 shape
ada17 81 1.46297 shape
ada17 82 1.45847 shape
ada17 83 1.54363 shape
ada17 84 1.84418 shape
ada17 85 1.45215 shape
ada17 86 1.41085 shape
ada17 87 1.42276 shape
ada17 88 1.17493 shape
ada17 89 1.17524 shape
ada17 90 1.3698 shape
ada17 91 1.46791 shape
ada17 92 1.71945 shape
ada17 93 1.22343 shape
ada17 94 1.61907 shape
ada17 95 1.53337 shape
ada17 96 1.55157 shape
ada17 97 1.49776 shape
ada17 98 1.34605 shape
ada17 99 1.43508 shape
ada17 100 1.40159 shape
ada17 101 1.69473 shape
ada17 102 1.41861 shape
ada17 103 1.4404 shape
ada17 104 1.92775 shape
ada17 105 1.4695 shape
ada17 106 1.11567 shape
ada17 107 1.46025 shape
ada17 108 1.46462 shape
ada17 109 1.61536 shape
ada17 110 1.35436 shape
ada17 111 1.70281 shape
ada17 112 1.66687 shape
ada17 113 1.91619 shape
ada17 114 1.86053 shape
ada17 115 1.02284 shape
ada17 116 1.72263 shape
ada17 117 1.59081 shape
ada17 118 1.47357 shape
ada17 119 1.58076 shape
ada17 120 1.50211 shape
ada17 121 2.13864 shape
ada17 122 1.90012 shape
ada17 123 2.02551 shape
ada17 124 0.861271 shape
ada17 125 1.81629 shape
ada17 126 1.4866 shape
ada17 127 1.49385 shape
ada17 128 1.51869 shape
ada17 129 1.46946 shape
ada17 130 1.67632 shape
ada17 131 2.11495 shape
ada17 132 1.54541 shape
ada17 133 1.70919 shape
ada17 134 1.57686 shape
ada17 135 1.76057 shape
ada17 136 1.84927 shape
ada17 137 1.41247 shape
ada17 138 1.66571 shape
ada17 139 1.74874 shape
ada17 140 1.72212 shape
ada17 141 1.4808 shape
ada17 142 1.29476 shape
ada17 143 1.32695 shape
ada17 144 1.09938 shape
ada17 145 1.16247 shape
ada17 146 1.55736 shape
ada17 147 1.77498 shape
ada17 148 1.38227 shape
ada17 149 1.45073 shape
ada17 150 1.159 shape
ada17 151 1.44478 shape
ada17 152 1.18248 shape
ada17 153 1.64039 shape
ada17 154 1.64309 shape
ada17 155 1.20505 shape
ada17 156 1.08999 shape
ada17 157 1.65523 shape
ada17 158 1.61704 shape
ada17 159 1.19903 shape
ada17 160 1.58086 shape
